id_immobile;CAMPO_SPCDATA;Comune;Indirizzo;uri_indirizzi_torino;Perc_possesso;Descrizione;Note;Destinazione d'uso;id_affitti
00331;Comune/L219;Torino;C.so Stati Uniti 21;118055;0;;;Uffici;00331_aff
00332;Comune/L219;Torino;C.so Stati Uniti 23;107457;0;;;Uffici;00332_aff
00333;Comune/L219;Torino;Corso Grosseto n. 73/6;;0;;;Magazzino archivio;00333_aff
00334;Comune/L219;Torino;Corso Marche n. 79;126155;0;;;Uffici;00334_aff
00335;Comune/L219;Torino;Corso Orbassano 336;77647;0;;;Magazzino Economato;00335_aff
00336;Comune/L219;Torino;Corso Regina Margherita n. 174;65573;0;;;uffici;00336_aff
00337;Comune/L219;Torino;P.zza Castello 153;7918;0;;;Uffici;00337_aff
00338;Comune/L219;Torino;Via Avogadro n. 30;14778;0;;;uffici;00338_aff
00339;Comune/L219;Torino;Via Bertola n. 34;19194;0;;;Uffici;00339_aff
00340;Comune/L219;Torino;Via Bogino n. 9;26008;0;;;Uffici;00340_aff
00341;Comune/L219;Torino;Via Lagrange 24;;0;;;uffici;00341_aff
00342;Comune/L219;Torino;Via Livorno n. 60;37722;0;;;Uffici;00342_aff
00343;Comune/L219;Torino;Via Magenta 12;80632;0;;;Uffici;00343_aff
00344;Comune/L219;Torino;Via Meucci 1;69594;0;;;Uffici;00344_aff
00345;Comune/L219;Torino;Via Nizza 18;84688;0;;;Uffici;00345_aff
00346;Comune/L219;Torino;Via Pietro Micca n. 18;69615;0;;;Uffici;00346_aff
00347;Comune/L219;Torino;"Via Pisano 6 ""Molini Dora""";60822;0;;;uffici;00347_aff
00348;Comune/L219;Torino;Via S. Teresa 23-2;;0;;;Uffici;00348_aff
00349;Comune/L219;Torino;Via Sospello 193;106800;0;;;Magazzino;00349_aff
00350;Comune/L219;Torino;Via Sospello 197/A 199;;0;;;Magazzino e uffici;00350_aff
00351;Comune/L219;Torino;Via Sospello 199;106803;0;;;Alloggio;00351_aff
00352;Comune/L219;Torino;Via Sospello 211;106775;0;;;Magazzino;00352_aff
00353;Comune/L219;Torino;Via Viotti n. 8;;0;;;Uffici;00353_aff
