41;"Comune";"Novara";"Maggiora";"PIAZZA CADUTI DI TUTTE LE GUERRE";"1";"02 ";"R0030880002";"0030880002";"1 - prima del 1800";;0,00
42;"Comune";"Novara";"Meina";"Piazza Carabelli";"5";"1";"R0030950001";"0030950001";"1 - prima del 1800";;0,00
43;"Comune";"Novara";"Sillavengo";"Via Principe Amedeo";"2";"0031380006";"R0031380002";"0031380002";"1 - prima del 1800";;0,00
44;"Comune";"Novara";"Suno";"Viale voli";"1";"01";"R0031430001";"0031430001";"1 - prima del 1800";;0,00
45;"Comune";"Novara";"Varallo Pombia";"Via Bolognino";"24";"1";"R0031540001";"0031540001";"1 - prima del 1800";;0,00
46;"Comune";"Torino";"Bairo";"PIAZZA COMUNALE";"2";"1";"R0010150001";"0010150001";"1 - prima del 1800";;0,00
47;"Comune";"Torino";"Cuorgne'";"Corso Roma";"4";"2";"R0010980012";"0010980012";"1 - prima del 1800";;0,00
48;"Comune";"Torino";"Fenestrelle";"VIA ROMA";"10";"01";"R0011030002";"0011030002";"1 - prima del 1800";;0,00
49;"Comune";"Torino";"Fenestrelle";"VIA ROMA";"17";"02";"R0011030001";"0011030001";"1 - prima del 1800";;0,00
50;"Comune";"Torino";"Fiano";"VIA CASTELLO";"1";"2";"R0011040002";"0011040002";"1 - prima del 1800";;0,00
51;"Comune";"Torino";"Fiorano Canavese";"Via MOLA DI LARISSE'";"S.N.";"1";"R0011050001";"0011050001";"1 - prima del 1800";;0,00
52;"Comune";"Torino";"Marentino";"PIAZZA UMBERTO I";"1";"02";"R0011440002";"0011440002";"1 - prima del 1800";;0,00
53;"Comune";"Torino";"Rivalta Di Torino";"Via BALEGNO";"10";"9";"R0012140009";"0012140009";"1 - prima del 1800";;0,00
54;"Comune";"Torino";"San Giorgio Canavese";"Via Piave";"21";"CAN_01";"R0012440003";"0012440003";"1 - prima del 1800";;0,00
55;"Comune";"Torino";"San Maurizio Canavese";"Via Alla Parrocchia";"38";"F02";"R0012480004";"0012480004";"1 - prima del 1800";;0,00
56;"Comune";"Verbano";"Montecrestese";"Frazione chiesa";"25";"2";"R1030460004";"1030460004";"1 - prima del 1800";;0,00
57;"Comune";"Verbano";"Toceno";"Via Cazzini";"31";"1";"R1030650002";"1030650002";"1 - prima del 1800";;0,00
58;"Comune";"Vercelli";"Alagna Valsesia";"Piazza piazza degli Alberghi";"sn";"2";"R0020020002";"0020020002";"1 - prima del 1800";;0,00
59;"Comune";"Vercelli";"Cravagliana";"VIA CENTRO";"S.N.";"1";"R0020480001";"0020480001";"1 - prima del 1800";;0,00
60;"Comune";"Vercelli";"Roasio";"VIA CAVOUR";"36";"0021160003";"R0021160001";"0021160001";"1 - prima del 1800";;0,00
61;"Provincia";"Alessandria";"Alessandria";"via Faa di Bruno";"85";"PROV_AL_7";"R0060030005";"0060030005";"1 - prima del 1800";;0,00
62;"Provincia";"Alessandria";"Alessandria";"Via Parma";"1";"PROV_AL_8";"R0060030002";"0060030002";"1 - prima del 1800";;0,00
63;"Provincia";"Alessandria";"Casale Monferrato";"Via Leardi";"1";"PROV_AL_20";"R0060390018";"0060390018";"1 - prima del 1800";;0,00
64;"Provincia";"Cuneo";"Alba";"CORSO EUROPA";"2";"PROCN7BALB";"R0040030035";"0040030035";"1 - prima del 1800";;0,00
65;"Provincia";"Cuneo";"Alba";"CORSO EUROPA";"2";"PROVCN7ALB";"R0040030023";"0040030023";"1 - prima del 1800";;0,00
66;"Provincia";"Cuneo";"Alba";"PIAZZA SAN FRANCESCO D'ASSISI";"1";"PROVCN5ALB";"R0040030024";"0040030024";"1 - prima del 1800";;0,00
67;"Provincia";"Cuneo";"Cortemilia";"CORSO EINAUDI LUIGI";"12";"PROVCN1COR";"R0040730002";"0040730002";"1 - prima del 1800";;0,00
68;"Provincia";"Cuneo";"Cuneo";"VIA CACCIATORI DELLE ALPI";"2";"PROVCN3CN";"R0040780010";"0040780010";"1 - prima del 1800";;0,00
69;"Provincia";"Cuneo";"Cuneo";"VIA ROMA";"19";"PROVCN10CN";"R0040780009";"0040780009";"1 - prima del 1800";;0,00
70;"Provincia";"Cuneo";"Cuneo";"VIA SAVIGLIANO";"25";"PROVCN1ACN";"R0040780004";"0040780004";"1 - prima del 1800";;0,00
71;"Provincia";"Cuneo";"Mondovi'";"PIAZZA IV NOVEMBRE";"4";"PROVCN8MON";"R0041300026";"0041300026";"1 - prima del 1800";;0,00
72;"Provincia";"Cuneo";"Mondovi'";"PIAZZA IV NOVEMBRE";"5";"PRCN2MOND";"R0041300028";"0041300028";"1 - prima del 1800";;0,00
73;"Provincia";"Cuneo";"Mondovi'";"PIAZZA IV NOVEMBRE";"6";"PROCN6AMON";"R0041300024";"0041300024";"1 - prima del 1800";;0,00
74;"Provincia";"Cuneo";"Mondovi'";"VIA SCUOLE";"23";"PRCN1MOND";"R0041300027";"0041300027";"1 - prima del 1800";;0,00
75;"Provincia";"Cuneo";"Racconigi";"PIAZZA MUZZONE BARTOLOMEO";"6";"PROVCN1RAC";"R0041790004";"0041790004";"1 - prima del 1800";;0,00
76;"Provincia";"Cuneo";"Saluzzo";"VIA CHIESA";"13 - 17";"PROVCN2SAL";"R0042030017";"0042030017";"1 - prima del 1800";;0,00
